H, NaN, KeyR, H, NaN, ShiftLeft, H, NaN, ControlLeft, DD, 8893, Period, UD, 15318, Period, H, 102, Period, DD, 103, KeyK, UD, 1, KeyK, H, 121, KeyK, DD, 122, Digit3, UD, 1, Digit3, H, 119, Digit3, DD, 119, KeyM, UD, 0, KeyM, H, 85, KeyM, DD, 86, KeyO, UD, 1, KeyO, H, 78, KeyO, DD, 78, KeyO, UD, 0, KeyO, H, 124, KeyO, DD, 125, KeyS, UD, 1, KeyS, H, 143, KeyS, DD, 144, KeyA, UD, 1, KeyA, H, 138, KeyA, DD, 138, KeyB, UD, 0, KeyB, H, 101, KeyB, DD, 101, KeyZ, UD, 0, KeyZ, H, 101, KeyZ, DD, 101, Enter, UD, 0, Enter
H, 120, Enter, DD, 227, Period, UD, 107, Period, H, 145, Period, DD, 146, KeyK, UD, 1, KeyK, H, 82, KeyK, DD, 82, Digit3, UD, 0, Digit3, H, 78, Digit3, DD, 78, KeyM, UD, 0, KeyM, H, 105, KeyM, DD, 107, KeyO, UD, 2, KeyO, H, 96, KeyO, DD, 96, KeyO, UD, 0, KeyO, H, 146, KeyO, DD, 149, KeyS, UD, 3, KeyS, H, 119, KeyS, DD, 120, KeyA, UD, 1, KeyA, H, 98, KeyA, DD, 98, KeyB, UD, 0, KeyB, H, 126, KeyB, DD, 128, KeyZ, UD, 2, KeyZ, H, 82, KeyZ, DD, 83, Enter, UD, 1, Enter
H, 121, Enter, DD, 221, Period, UD, 100, Period, H, 99, Period, DD, 100, KeyK, UD, 1, KeyK, H, 100, KeyK, DD, 100, Digit3, UD, 0, Digit3, H, 121, Digit3, DD, 121, KeyM, UD, 0, KeyM, H, 84, KeyM, DD, 85, KeyO, UD, 1, KeyO, H, 103, KeyO, DD, 103, KeyO, UD, 0, KeyO, H, 120, KeyO, DD, 123, KeyS, UD, 3, KeyS, H, 101, KeyS, DD, 102, KeyA, UD, 1, KeyA, H, 142, KeyA, DD, 143, KeyB, UD, 1, KeyB, H, 142, KeyB, DD, 143, KeyZ, UD, 1, KeyZ, H, 141, KeyZ, DD, 143, Enter, UD, 2, Enter
H, 97, Enter, DD, 199, Period, UD, 102, Period, H, 103, Period, DD, 104, KeyK, UD, 1, KeyK, H, 78, KeyK, DD, 78, Digit3, UD, 0, Digit3, H, 81, Digit3, DD, 81, KeyM, UD, 0, KeyM, H, 81, KeyM, DD, 81, KeyO, UD, 0, KeyO, H, 84, KeyO, DD, 84, KeyO, UD, 0, KeyO, H, 100, KeyO, DD, 101, KeyS, UD, 1, KeyS, H, 139, KeyS, DD, 139, KeyA, UD, 0, KeyA, H, 144, KeyA, DD, 145, KeyB, UD, 1, KeyB, H, 138, KeyB, DD, 138, KeyZ, UD, 0, KeyZ, H, 85, KeyZ, DD, 87, Enter, UD, 2, Enter
H, 103, Enter, DD, 201, Period, UD, 98, Period, H, 80, Period, DD, 80, KeyK, UD, 0, KeyK, H, 85, KeyK, DD, 86, Digit3, UD, 1, Digit3, H, 101, Digit3, DD, 101, KeyM, UD, 0, KeyM, H, 123, KeyM, DD, 125, KeyO, UD, 2, KeyO, H, 80, KeyO, DD, 81, KeyO, UD, 1, KeyO, H, 138, KeyO, DD, 138, KeyS, UD, 0, KeyS, H, 101, KeyS, DD, 101, KeyA, UD, 0, KeyA, H, 121, KeyA, DD, 121, KeyB, UD, 0, KeyB, H, 84, KeyB, DD, 84, KeyZ, UD, 0, KeyZ, H, 83, KeyZ, DD, 86, Enter, UD, 3, Enter
H, 136, Enter, DD, 239, Period, UD, 103, Period, H, 83, Period, DD, 84, KeyK, UD, 1, KeyK, H, 118, KeyK, DD, 118, Digit3, UD, 0, Digit3, H, 106, Digit3, DD, 106, KeyM, UD, 0, KeyM, H, 138, KeyM, DD, 138, KeyO, UD, 0, KeyO, H, 121, KeyO, DD, 121, KeyO, UD, 0, KeyO, H, 139, KeyO, DD, 139, KeyS, UD, 0, KeyS, H, 141, KeyS, DD, 141, KeyA, UD, 0, KeyA, H, 125, KeyA, DD, 125, KeyB, UD, 0, KeyB, H, 124, KeyB, DD, 124, KeyZ, UD, 0, KeyZ, H, 141, KeyZ, DD, 143, Enter, UD, 2, Enter
H, 138, Enter, DD, 242, Period, UD, 104, Period, H, 145, Period, DD, 146, KeyK, UD, 1, KeyK, H, 122, KeyK, DD, 123, Digit3, UD, 1, Digit3, H, 98, Digit3, DD, 98, KeyM, UD, 0, KeyM, H, 85, KeyM, DD, 85, KeyO, UD, 0, KeyO, H, 83, KeyO, DD, 84, KeyO, UD, 1, KeyO, H, 142, KeyO, DD, 142, KeyS, UD, 0, KeyS, H, 103, KeyS, DD, 104, KeyA, UD, 1, KeyA, H, 136, KeyA, DD, 136, KeyB, UD, 0, KeyB, H, 123, KeyB, DD, 124, KeyZ, UD, 1, KeyZ, H, 104, KeyZ, DD, 106, Enter, UD, 2, Enter
H, 77, Enter, DD, 179, Period, UD, 102, Period, H, 119, Period, DD, 119, KeyK, UD, 0, KeyK, H, 88, KeyK, DD, 89, Digit3, UD, 1, Digit3, H, 142, Digit3, DD, 142, KeyM, UD, 0, KeyM, H, 79, KeyM, DD, 79, KeyO, UD, 0, KeyO, H, 140, KeyO, DD, 140, KeyO, UD, 0, KeyO, H, 122, KeyO, DD, 122, KeyS, UD, 0, KeyS, H, 105, KeyS, DD, 105, KeyA, UD, 0, KeyA, H, 79, KeyA, DD, 79, KeyB, UD, 0, KeyB, H, 104, KeyB, DD, 106, KeyZ, UD, 2, KeyZ, H, 120, KeyZ, DD, 121, Enter, UD, 1, Enter
H, 98, Enter, DD, 201, Period, UD, 103, Period, H, 79, Period, DD, 79, KeyK, UD, 0, KeyK, H, 146, KeyK, DD, 147, Digit3, UD, 1, Digit3, H, 97, Digit3, DD, 97, KeyM, UD, 0, KeyM, H, 101, KeyM, DD, 101, KeyO, UD, 0, KeyO, H, 125, KeyO, DD, 125, KeyO, UD, 0, KeyO, H, 124, KeyO, DD, 124, KeyS, UD, 0, KeyS, H, 104, KeyS, DD, 105, KeyA, UD, 1, KeyA, H, 83, KeyA, DD, 83, KeyB, UD, 0, KeyB, H, 141, KeyB, DD, 142, KeyZ, UD, 1, KeyZ, H, 141, KeyZ, DD, 145, Enter, UD, 4, Enter
H, 79, Enter, DD, 177, Period, UD, 98, Period, H, 100, Period, DD, 101, KeyK, UD, 1, KeyK, H, 104, KeyK, DD, 105, Digit3, UD, 1, Digit3, H, 123, Digit3, DD, 125, KeyM, UD, 2, KeyM, H, 97, KeyM, DD, 98, KeyO, UD, 1, KeyO, H, 126, KeyO, DD, 128, KeyO, UD, 2, KeyO, H, 143, KeyO, DD, 145, KeyS, UD, 2, KeyS, H, 99, KeyS, DD, 100, KeyA, UD, 1, KeyA, H, 137, KeyA, DD, 137, KeyB, UD, 0, KeyB, H, 81, KeyB, DD, 81, KeyZ, UD, 0, KeyZ, H, 122, KeyZ, DD, 123, Enter, UD, 1, Enter
H, 142, Enter, DD, 241, Period, UD, 99, Period, H, 140, Period, DD, 140, KeyK, UD, 0, KeyK, H, 85, KeyK, DD, 86, Digit3, UD, 1, Digit3, H, 97, Digit3, DD, 97, KeyM, UD, 0, KeyM, H, 105, KeyM, DD, 105, KeyO, UD, 0, KeyO, H, 82, KeyO, DD, 82, KeyO, UD, 0, KeyO, H, 139, KeyO, DD, 139, KeyS, UD, 0, KeyS, H, 100, KeyS, DD, 100, KeyA, UD, 0, KeyA, H, 146, KeyA, DD, 147, KeyB, UD, 1, KeyB, H, 79, KeyB, DD, 79, KeyZ, UD, 0, KeyZ, H, 145, KeyZ, DD, 146, Enter, UD, 1, Enter
H, 139, Enter, DD, 238, Period, UD, 99, Period, H, 106, Period, DD, 107, KeyK, UD, 1, KeyK, H, 79, KeyK, DD, 79, Digit3, UD, 0, Digit3, H, 79, Digit3, DD, 79, KeyM, UD, 0, KeyM, H, 141, KeyM, DD, 141, KeyO, UD, 0, KeyO, H, 101, KeyO, DD, 102, KeyO, UD, 1, KeyO, H, 107, KeyO, DD, 107, KeyS, UD, 0, KeyS, H, 121, KeyS, DD, 122, KeyA, UD, 1, KeyA, H, 99, KeyA, DD, 99, KeyB, UD, 0, KeyB, H, 143, KeyB, DD, 144, KeyZ, UD, 1, KeyZ, H, 137, KeyZ, DD, 137, Enter, UD, 0, Enter
