H, 131, Period, DD, 1017, KeyK, UD, 886, KeyK, H, 100, KeyK, DD, 160, Digit3, UD, 60, Digit3, H, 139, Digit3, DD, 309, KeyM, UD, 170, KeyM, H, 158, KeyM, DD, 727, KeyO, UD, 569, KeyO, H, 93, KeyO, DD, 156, KeyO, UD, 63, KeyO, H, 95, KeyO, DD, 923, KeyS, UD, 828, KeyS, H, 117, KeyS, DD, 301, KeyA, UD, 184, KeyA, H, 167, KeyA, DD, 1036, KeyB, UD, 869, KeyB, DD, 94, KeyZ, UD, 963, KeyZ, H, 70, KeyB, H, 146, KeyZ, DD, 1076, Enter, UD, 930, Enter
H, 85, Enter, DD, 1199, Period, UD, 1114, Period, H, 123, Period, DD, 1522, KeyK, UD, 1399, KeyK, H, 120, KeyK, DD, 168, Digit3, UD, 48, Digit3, H, 125, Digit3, DD, 901, KeyM, UD, 776, KeyM, H, 102, KeyM, DD, 299, KeyO, UD, 197, KeyO, H, 63, KeyO, DD, 130, KeyO, UD, 67, KeyO, H, 118, KeyO, DD, 989, KeyS, UD, 871, KeyS, DD, 61, KeyA, UD, 932, KeyA, H, 76, KeyS, H, 162, KeyA, DD, 271, KeyB, UD, 109, KeyB, H, 157, KeyB, DD, 381, KeyZ, UD, 224, KeyZ, H, 126, KeyZ, DD, 978, Enter, UD, 852, Enter
H, 100, Enter, DD, 1093, Period, UD, 993, Period, H, 108, Period, DD, 597, KeyK, UD, 489, KeyK, H, 107, KeyK, DD, 363, Digit3, UD, 256, Digit3, H, 88, Digit3, DD, 156, KeyM, UD, 68, KeyM, H, 124, KeyM, DD, 504, KeyO, UD, 380, KeyO, H, 112, KeyO, DD, 158, KeyO, UD, 46, KeyO, H, 86, KeyO, DD, 4307, KeyS, UD, 4221, KeyS, H, 99, KeyS, DD, 1273, KeyA, UD, 1174, KeyA, DD, 123, KeyB, UD, 1297, KeyB, H, 39, KeyA, H, 175, KeyB, DD, 208, KeyZ, UD, 33, KeyZ, DD, 126, Enter, UD, 159, Enter
H, 12, KeyZ, H, 152, Enter, DD, 1509, Period, UD, 1357, Period, H, 127, Period, DD, 1506, KeyK, UD, 1379, KeyK, DD, 129, Digit3, UD, 1508, Digit3, H, 10, KeyK, H, 135, Digit3, DD, 726, KeyM, UD, 591, KeyM, H, 115, KeyM, DD, 401, KeyO, UD, 286, KeyO, H, 91, KeyO, DD, 138, KeyO, UD, 47, KeyO, H, 101, KeyO, DD, 397, KeyS, UD, 296, KeyS, H, 191, KeyS, DD, 201, KeyA, UD, 10, KeyA, H, 171, KeyA, DD, 508, KeyB, UD, 337, KeyB, DD, 89, KeyZ, UD, 426, KeyZ, H, 75, KeyB, H, 146, KeyZ, DD, 625, Enter, UD, 479, Enter
H, 97, Enter, DD, 654, Period, UD, 557, Period, H, 121, Period, DD, 1101, KeyK, UD, 980, KeyK, H, 81, KeyK, DD, 142, Digit3, UD, 61, Digit3, H, 114, Digit3, DD, 1354, KeyM, UD, 1240, KeyM, H, 123, KeyM, DD, 634, KeyO, UD, 511, KeyO, H, 80, KeyO, DD, 136, KeyO, UD, 56, KeyO, H, 90, KeyO, DD, 1184, KeyS, UD, 1094, KeyS, H, 96, KeyS, DD, 194, KeyA, UD, 98, KeyA, H, 139, KeyA, DD, 233, KeyB, UD, 94, KeyB, H, 124, KeyB, DD, 141, KeyZ, UD, 17, KeyZ, DD, 107, Enter, UD, 124, Enter
H, 18, KeyZ, H, 152, Enter, DD, 732, Period, UD, 580, Period, H, 112, Period, DD, 837, KeyK, UD, 725, KeyK, H, 86, KeyK, DD, 152, Digit3, UD, 66, Digit3, H, 59, Digit3, DD, 810, KeyM, UD, 751, KeyM, H, 118, KeyM, DD, 359, KeyO, UD, 241, KeyO, H, 124, KeyO, DD, 148, KeyO, UD, 24, KeyO, H, 114, KeyO, DD, 1389, KeyS, UD, 1275, KeyS, H, 118, KeyS, DD, 214, KeyA, UD, 96, KeyA, DD, 116, KeyB, UD, 212, KeyB, H, 10, KeyA, H, 111, KeyB, DD, 175, KeyZ, UD, 64, KeyZ, H, 137, KeyZ, DD, 149, Enter, UD, 12, Enter
H, 104, Enter, DD, 701, Period, UD, 597, Period, H, 114, Period, DD, 377, KeyK, UD, 263, KeyK, H, 102, KeyK, DD, 317, Digit3, UD, 215, Digit3, H, 137, Digit3, DD, 181, KeyM, UD, 44, KeyM, H, 122, KeyM, DD, 327, KeyO, UD, 205, KeyO, H, 84, KeyO, DD, 132, KeyO, UD, 48, KeyO, H, 117, KeyO, DD, 839, KeyS, UD, 722, KeyS, H, 121, KeyS, DD, 247, KeyA, UD, 126, KeyA, H, 155, KeyA, DD, 205, KeyB, UD, 50, KeyB, DD, 105, KeyZ, UD, 155, KeyZ, H, 8, KeyB, H, 125, KeyZ, DD, 678, Enter, UD, 553, Enter
H, 109, Enter, DD, 382, Period, UD, 273, Period, H, 92, Period, DD, 1089, KeyK, UD, 997, KeyK, H, 91, KeyK, DD, 442, Digit3, UD, 351, Digit3, H, 122, Digit3, DD, 183, KeyM, UD, 61, KeyM, H, 104, KeyM, DD, 295, KeyO, UD, 191, KeyO, H, 89, KeyO, DD, 152, KeyO, UD, 63, KeyO, H, 91, KeyO, DD, 284, KeyS, UD, 193, KeyS, H, 99, KeyS, DD, 208, KeyA, UD, 109, KeyA, H, 119, KeyA, DD, 285, KeyB, UD, 166, KeyB, H, 150, KeyB, DD, 205, KeyZ, UD, 55, KeyZ, H, 100, KeyZ, DD, 122, Enter, UD, 22, Enter
H, 113, Enter, DD, 752, Period, UD, 639, Period, H, 95, Period, DD, 728, KeyK, UD, 633, KeyK, H, 95, KeyK, DD, 101, Digit3, UD, 6, Digit3, H, 114, Digit3, DD, 170, KeyM, UD, 56, KeyM, H, 101, KeyM, DD, 233, KeyO, UD, 132, KeyO, H, 78, KeyO, DD, 195, KeyO, UD, 117, KeyO, H, 81, KeyO, DD, 391, KeyS, UD, 310, KeyS, H, 115, KeyS, DD, 241, KeyA, UD, 126, KeyA, H, 89, KeyA, DD, 155, KeyB, UD, 66, KeyB, H, 105, KeyB, DD, 117, KeyZ, UD, 12, KeyZ, H, 109, KeyZ, DD, 147, Enter, UD, 38, Enter
H, 114, Enter, DD, 690, Period, UD, 576, Period, H, 96, Period, DD, 355, KeyK, UD, 259, KeyK, H, 104, KeyK, DD, 369, Digit3, UD, 265, Digit3, H, 111, Digit3, DD, 224, KeyM, UD, 113, KeyM, H, 123, KeyM, DD, 432, KeyO, UD, 309, KeyO, H, 81, KeyO, DD, 132, KeyO, UD, 51, KeyO, H, 103, KeyO, DD, 518, KeyS, UD, 415, KeyS, H, 102, KeyS, DD, 294, KeyA, UD, 192, KeyA, H, 107, KeyA, DD, 153, KeyB, UD, 46, KeyB, H, 130, KeyB, DD, 133, KeyZ, UD, 3, KeyZ, H, 118, KeyZ, DD, 702, Enter, UD, 584, Enter
H, 102, Enter, DD, 713, Period, UD, 611, Period, H, 95, Period, DD, 707, KeyK, UD, 612, KeyK, H, 85, KeyK, DD, 146, Digit3, UD, 61, Digit3, H, 117, Digit3, DD, 432, KeyM, UD, 315, KeyM, H, 93, KeyM, DD, 299, KeyO, UD, 206, KeyO, H, 88, KeyO, DD, 163, KeyO, UD, 75, KeyO, H, 86, KeyO, DD, 222, KeyS, UD, 136, KeyS, H, 115, KeyS, DD, 264, KeyA, UD, 149, KeyA, H, 96, KeyA, DD, 164, KeyB, UD, 68, KeyB, H, 107, KeyB, DD, 156, KeyZ, UD, 49, KeyZ, H, 94, KeyZ, DD, 192, Enter, UD, 98, Enter
H, 123, Enter, DD, 354, Period, UD, 231, Period, H, 104, Period, DD, 916, KeyK, UD, 812, KeyK, H, 125, KeyK, DD, 208, Digit3, UD, 83, Digit3, H, 118, Digit3, DD, 154, KeyM, UD, 36, KeyM, H, 106, KeyM, DD, 309, KeyO, UD, 203, KeyO, H, 85, KeyO, DD, 162, KeyO, UD, 77, KeyO, H, 104, KeyO, DD, 283, KeyS, UD, 179, KeyS, H, 107, KeyS, DD, 299, KeyA, UD, 192, KeyA, H, 88, KeyA, DD, 256, KeyB, UD, 168, KeyB, H, 108, KeyB, DD, 122, KeyZ, UD, 14, KeyZ, H, 93, KeyZ, DD, 656, Enter, UD, 563, Enter
